+--------------------------+------------+
|         Modules          | Parameters |
| 0.66640997 | 0.7936572  | 0.8430904  | 0.8963532  |
| 0.61559343 | 0.75262094 | 0.81198967 | 0.85884017 |
| 0.58710325 | 0.7099282  | 0.76127636 | 0.80833447 |
| 0.5757631  | 0.66141015 | 0.70218515 | 0.73857504 |
| 0.5640475  | 0.64311594 | 0.6856297  | 0.72018546 |
| 2.8508377  | 3.4740767  | 3.6923208  | 3.8305566  |
| 0.6225114  | 0.7095332  | 0.7588048  | 0.78697604 |
| 2.1684325  | 3.2486563  | 3.9928827  | 4.5862193  |
| 2.2244482  |  3.394498  |  4.139758  | 4.7333083  |
| 2.3411577  | 3.2820926  | 3.8717606  | 4.3635297  |
| 2.1928878  | 2.8665335  | 3.2498088  | 3.5240977  |
| 2.1237862  | 2.5689187  | 2.8285327  | 3.0896802  |
| 1.2697827  | 1.7622153  |  2.109834  | 2.4129608  |
| 2.0929062  |  3.001102  | 3.7811341  | 4.2559214  |
| 1.9167631  | 2.6724355  | 3.2717223  | 3.7128696  |
| 1.9376689  |  3.069287  | 3.9084823  | 4.4867187  |
|  2.521756  | 3.9785528  | 5.4529634  | 6.2287507  |
| 2.3385289  | 3.5942507  | 4.7328377  | 5.4643583  |
| 2.4982111  | 3.9724004  |  5.424082  |  6.257146  |
+------------+------------+------------+------------+ 

